name,id,office,state,district,party,incumbent,receipts,disbursement,cash.on.hand,debt.owed,end.date,start.date
"CULBERSON, JOHN",H0TX07055,H,TX,7,REP,INCUMBENT,2994060,2615695.62,460055.99,0,10/17/18,1/1/17
"FLORES, BILL",H0TX17104,H,TX,17,REP,INCUMBENT,1280728.93,914693.75,621371.55,0,10/17/18,1/1/17
"KELLY, GEORGE J JR",H0PA03271,H,PA,16,REP,INCUMBENT,2390964.65,2263738.31,869328.1,9e4,10/17/18,1/1/17
"TAYLOR, SCOTT W. MR.",H0VA02118,H,VA,2,REP,INCUMBENT,3651856.95,3426114.65,290709.69,0,10/17/18,1/1/17
"ROTHFUS, KEITH MR.",H0PA04220,H,PA,17,REP,INCUMBENT,2908955.4,3311963.85,210664.04,193477.71,10/17/18,1/1/17
"GRIFFITH, H MORGAN",H0VA09055,H,VA,9,REP,INCUMBENT,1060148.11,806724.18,343852.96,0,10/17/18,1/1/17
"MARINO, THOMAS ANTHONY",H0PA10078,H,PA,12,REP,INCUMBENT,745956.69,763365.31,166111.44,0,10/17/18,1/1/17
"PELLETIER, PAUL",H8VA10171,H,VA,10,DEM,CHALLENGER,651741.75,651741.75,0,0,9/30/18,10/1/17
"CICILLINE, DAVID N",H0RI01073,H,RI,1,DEM,INCUMBENT,1535524.41,1329913.96,938781.45,0,10/17/18,1/1/17
"MARCH, ANTHONY JAMES",H8IL15064,H,IL,15,DEM,CHALLENGER,820.63,820.63,0,0,12/31/17,4/1/17
"ROSE, E BRIAN",H8MS04453,H,MS,4,REP,CHALLENGER,25851.33,16486.39,9364.94,0,3/31/18,11/16/16
"THOMAS, KATHI",H8TX25126,H,TX,25,DEM,CHALLENGER,40355.2,44254.63,0,1437.19,7/10/18,1/1/17
"PADILLA, MARK EDWARD",H8CA34233,H,CA,34,NPA,OPEN,29182.1,29182.1,0,0,12/31/17,1/1/17
"MCLAURIN, JOSHUA IVAN",H8GA06179,H,GA,6,DEM,CHALLENGER,267,43735.39,0,0,3/14/17,1/1/17
"PLUMMER, LETITIA",H8TX22206,H,TX,22,DEM,CHALLENGER,133288.74,129472.57,3816.17,2350,9/30/18,6/5/17
"COLE, ERIN",H8NY27127,H,NY,27,DEM,OPEN,61508.6,61508.6,0,0,2/11/18,7/1/17
"BUNNY, SEAN",H8NY27135,H,NY,27,DEM,OPEN,137015.32,137015.32,0,0,6/30/18,10/1/17
"GABBARD, JOHN",H8CA48142,H,CA,48,REP,CHALLENGER,58583.46,58583.46,0,0,8/10/18,1/1/18
"CURTIS, TOD",H8IN09099,H,IN,9,DEM,CHALLENGER,54630,54630,0,0,12/31/17,6/27/17
"SCHNEIDER, MAC SCHNEIDER",H8ND00112,H,ND,0,DEM,OPEN,718857.99,635201.49,83656.5,0,10/17/18,1/1/18
"EASTMAN, KARA",H8NE02220,H,NE,2,DEM,CHALLENGER,2361776.72,1964438.01,397338.71,0,10/17/18,4/1/17
"CLEGG, DAVID J",H8NY19231,H,NY,19,DEM,CHALLENGER,793292.76,767248.34,12943.22,125400,9/30/18,7/1/17
"LAMB, JONATHAN M.",H8IN06079,H,IN,6,REP,OPEN,868142.41,867726.31,416.1,47e4,9/30/18,7/1/17
"BUCK, KENNETH R",H4CO04090,H,CO,4,REP,INCUMBENT,589639.43,598853.4,391772.8,0,10/17/18,1/1/17
"CURBELO, CARLOS MR.",H4FL26038,H,FL,26,REP,INCUMBENT,4814575.35,4217781.26,640163.83,0,10/17/18,1/1/17
"DOGGETT, LLOYD",H4TX10028,H,TX,35,DEM,INCUMBENT,955338.86,399471.38,4237650.44,0,10/17/18,1/1/17
"MCCAUL, MICHAEL",H4TX10093,H,TX,10,REP,INCUMBENT,1743419.42,1599933.36,249211.02,0,10/17/18,1/1/17
"CANSECO, FRANCISCO 'QUICO'",H4TX28046,H,TX,21,REP,OPEN,22361.49,22361.49,127821.13,123013.39,10/17/18,1/1/17
"BRAT, DAVID ALAN MR.",H4VA07143,H,VA,7,REP,INCUMBENT,2751354.32,1941364.34,978003.52,0,10/17/18,1/1/17
"COMSTOCK, BARBARA",H4VA10089,H,VA,10,REP,INCUMBENT,5822188.03,5327110.8,544509.88,0,10/17/18,1/1/17
"WALL, KATHALEEN MRS.",H8TX02141,H,TX,2,REP,OPEN,6213448.49,6213351.28,97.21,0,6/30/18,11/20/17
"NEWHOUSE, DAN",H4WA04104,H,WA,4,REP,INCUMBENT,1097995.11,974009.95,163513.59,0,10/17/18,1/1/17
"MOORE, GWEN S",H4WI04183,H,WI,4,DEM,INCUMBENT,950314.7,923631.34,66775.45,0,10/17/18,1/1/17
"KESTO, KLINT",H8MI11270,H,MI,11,REP,OPEN,649799,649799,0,0,10/15/18,7/1/17
"MORGANELLI, JOHN",H8PA15278,H,PA,7,DEM,OPEN,262745,262745,0,0,6/30/18,1/1/18
"GROTHMAN, GLENN S.",H4WI06048,H,WI,6,REP,INCUMBENT,1866521.29,1263087.94,611248.58,155160,10/17/18,1/1/17
"CORTES BARRAGAN, RODOLFO",H8CA40206,H,CA,40,GRE,CHALLENGER,15218,14120.79,1343.21,0,10/17/18,10/1/17
"BURNS, MARK",H8SC04284,H,SC,4,REP,OPEN,136405.05,136405.05,0,0,6/30/18,1/1/18
"KIMBRELL, JOSHUA BRETT",H8SC04318,H,SC,4,REP,OPEN,384666,379640.58,5025.42,53e3,6/30/18,1/1/18
"MULLIKIN, TOM",H8SC05109,H,SC,5,REP,OPEN,495314.96,495314.96,0,0,6/30/18,2/1/17
"RACZKOWSKI, A. ROCKY",H8MI11288,H,MI,11,REP,OPEN,223310,223410,0,0,9/30/18,10/3/17
"LEVELL, BRUCE E",H8GA06351,H,GA,6,REP,CHALLENGER,65531,60014.96,0,0,9/30/17,1/26/17
"YOUNG, GEOFFREY M",H4KY06163,H,KY,6,DEM,CHALLENGER,9278.13,10567,971,7600,9/30/18,1/1/17
"PEREZ GISSY, ANA MARIA MS",H8AZ04132,H,AZ,4,DEM,CHALLENGER,9136.56,8578.83,557.73,0,9/30/18,7/27/17
"BRIEL, AMY",H8IL16146,H,IL,16,DEM,CHALLENGER,17496,22721.69,-2080.17,0,6/30/18,7/1/17
"GREEN, RICK",H8MA03114,H,MA,3,REP,OPEN,922247.68,760689.51,161558.17,12e4,10/17/18,10/1/17
"METHVIN, MIMI",H8LA03094,H,LA,3,DEM,CHALLENGER,234978.47,191704.83,43273.64,51e3,10/17/18,1/1/18
"THOMAS, REGINALD LEONARD 'REGGIE'",H8KY06156,H,KY,6,DEM,CHALLENGER,351512.73,351512.73,0,0,9/11/18,7/1/17
"MULLEN, MICHAEL P MR.",H8MA03221,H,MA,3,UN,OPEN,19567,11075.83,8491.17,5e3,10/17/18,4/1/18
"BARONESS VON BEHR, IRINA",H8AZ09016,H,AZ,9,REP,OPEN,21989.38,21836.07,153.31,19623.99,9/30/18,1/1/17
"ROBY, MARTHA",H0AL02087,H,AL,2,REP,INCUMBENT,2506892.21,2100806.46,451536.47,0,10/17/18,1/1/17
"NEAL, RICHARD E MR.",H8MA02041,H,MA,1,DEM,INCUMBENT,3144384.28,2998992.29,3163215.03,0,10/17/18,1/1/17
"MAZESKI, KELLY",H8IL06121,H,IL,6,DEM,CHALLENGER,923500.75,922736.26,764.49,295e3,9/30/18,4/1/17
"HAAF, GRACE",H8IL06170,H,IL,6,DEM,CHALLENGER,49559,49559,0,0,10/14/18,7/1/17
"BROOKS, MO",H0AL05163,H,AL,5,REP,INCUMBENT,1474725.81,1876240.13,769423,0,10/17/18,1/1/17
"LOVVORN, TRACY LYN",H8MA02116,H,MA,2,REP,CHALLENGER,36275.81,30831.87,5443.94,27861.81,10/17/18,1/1/18
"YOUNG, STEPHEN ROBERT NEALE",H8MI12112,H,MI,12,GRE,CHALLENGER,494.16,533.43,-39.27,322.11,12/31/17,7/1/17
"MINEHART, COLIN JAMES",H8MN01261,H,MN,1,DFL,OPEN,200,200,287.22,0,12/31/17,10/1/17
"HUNTER, CHRISTOPHER J.",H8FL12088,H,FL,12,DEM,CHALLENGER,721331.79,461186.14,260145.65,0,10/17/18,1/1/18
"HECK, DENNIS",H0WA03161,H,WA,10,DEM,INCUMBENT,1530200.84,1047005.49,1241952.44,3e5,10/17/18,1/1/17
"EICHHOLZ, RICH",H8MI06148,H,MI,6,DEM,CHALLENGER,196556.31,196556.31,0,0,9/1/18,7/11/17
"PALLANT, MARY",H6CA24246,H,CA,25,DEM,CHALLENGER,8295.09,8295.09,0,2632.09,6/30/18,1/1/18
"BALLOCK, THOMAS",H8IN04207,H,IN,4,W,OPEN,122,0,0,0,12/31/17,11/10/17
"SULLIVAN, SUE",H8NY19207,H,NY,19,DEM,CHALLENGER,66358.77,66358.77,0,0,10/23/17,5/17/17
"BATESON, REGINA",H8CA04194,H,CA,4,DEM,CHALLENGER,804901.59,804901.59,0,0,8/9/18,1/1/17
"TOWNSEND, WILLIAM BILL MILLER",H8NV04109,H,NV,4,REP,OPEN,30397.6,30397.6,0,24741.06,6/30/18,1/1/18
"MARYOTT, BRIAN",H8CA49108,H,CA,49,REP,OPEN,760193.75,750393.93,9799.82,1e4,9/30/18,1/1/18
"SCHMITT, MICHAEL D",H8CA49132,H,CA,49,REP,OPEN,7960.54,7811.13,149.41,7670.13,9/30/18,1/1/18
"VELTMEYER, JAMES",H8CA52110,H,CA,52,REP,CHALLENGER,250657.35,249689.67,967.68,93092.5,9/30/18,1/1/17
"GRAVES, CHRISTOPHER",H8MD06259,H,MD,6,DEM,OPEN,121143,121143,0,125071.08,9/30/18,7/1/17
"MOSER, JOHN",H8MD07075,H,MD,7,DEM,CHALLENGER,9014,8812.73,201.27,8363.76,9/30/18,7/1/17
"BUDD, THEODORE P.",H6NC13129,H,NC,13,REP,INCUMBENT,2095216.04,1588545.53,526263.2,5e4,10/17/18,1/1/17
"PASCRELL, WILLIAM J. JR.",H6NJ08118,H,NJ,9,DEM,INCUMBENT,1553577.19,1183699.17,1704913.11,2e4,10/17/18,1/1/17
"LANCE, LEONARD",H6NJ12136,H,NJ,7,REP,INCUMBENT,2347201.81,2040694.23,466749.56,119662.21,10/17/18,1/1/17
"DONOVAN, DAN",H6NY11174,H,NY,11,REP,INCUMBENT,2310435.81,2240661.28,256137.87,139881.01,10/17/18,1/1/17
"FASO, JOHN J. MR.",H6NY19169,H,NY,19,REP,INCUMBENT,3664186.32,3119703.14,647912.17,0,10/17/18,1/1/17
"MILLER, MIKE",H8FL07062,H,FL,7,REP,CHALLENGER,993723.66,963613.1,30110.56,125e3,10/17/18,4/1/17
"PEZZULLO, RICHARD J",S4NJ00169,S,NJ,0,REP,CHALLENGER,117237,118297.4,238.98,15e3,9/30/18,7/1/17
"GOLDBERG, BRIAN DAVID MR",S4NJ00292,S,NJ,0,REP,CHALLENGER,10810,9827.02,1133.01,9533.65,9/30/18,1/1/17
"WARD, KELLI",S6AZ00233,S,AZ,0,REP,OPEN,3296782.37,3283375.34,65334.67,105073.18,9/30/18,1/1/17
"SANTA MARIA, BRIAN SANTA MR.",H8MN03127,H,MN,3,DEM,CHALLENGER,16812.2,16477.33,334.87,0,9/30/18,4/1/17
"RAB, AEJAZ (RAJI)",H4CA30123,H,CA,30,DEM,CHALLENGER,89950,87427.41,6315.22,124611.25,9/30/18,1/1/17
"CODAY, ARTHUR JR MD",S0WA00258,S,WA,0,REP,CHALLENGER,24673.5,23205.64,1466.56,20616.82,9/30/18,1/1/17
"CRUZ, ERIN",S8CA00440,S,CA,0,REP,CHALLENGER,31342,31155,186,0,9/30/18,1/1/18
"BEDELL, EILEEN MCNEIL",H6VA07148,H,VA,7,DEM,CHALLENGER,41819.26,37136.19,7335.34,0,9/30/18,1/1/17
"NEHLEN, PAUL III",H6WI01226,H,WI,1,REP,OPEN,207184.33,198053.88,3433.98,62698.15,7/25/18,1/1/17
"SMITH, AJA",H8CA41170,H,CA,41,REP,CHALLENGER,40114.88,36706.72,3408.16,0,10/17/18,1/1/17
"REILLY, STEVEN M.",H8GA07169,H,GA,7,DEM,CHALLENGER,47342.66,47342.66,0,0,9/30/18,4/1/17
"ZARYCH, JOHN",H8NJ02224,H,NJ,2,REP,OPEN,135271.75,135271.75,0,0,4/1/18,1/1/18
"ROHRABACHER, DANA",H8CA42061,H,CA,48,REP,INCUMBENT,2426709.59,2237774.72,426710.07,117723.23,10/17/18,1/1/17
"BALCHUNIS, MARY ELLEN",H4PA07092,H,PA,5,DEM,CHALLENGER,7405,9146,669,0,6/30/18,1/1/17
"BRINSON, R RANDOLPH RANDY MD",S8AL00316,S,AL,0,REP,CHALLENGER,302340,302337,0,0,3/31/18,4/21/17
"BUCHMAN, JOSEPH GEDDES DR. PHD",H8UT03352,H,UT,3,LIB,OPEN,9326,10233.42,-200.49,0,4/20/18,7/1/17
"QUINTERO, NORMAN",H8CA42244,H,CA,42,DEM,CHALLENGER,136211.3,136211.3,0,0,10/17/18,1/1/17
"WATKINS, STEVE",H8KS02199,H,KS,2,REP,OPEN,1069280.03,849446.07,219833.96,484131,10/17/18,9/1/17
"ESTES, RON",H8KS04112,H,KS,4,REP,INCUMBENT,1693354.59,1237680.92,455673.67,0,10/17/18,1/1/17
"LEE, SUSIE",H8NV03200,H,NV,3,DEM,OPEN,4592880.74,4373197.35,219683.39,1e4,10/17/18,7/1/17
"YOUNG, DONALD E",H6AK00045,H,AK,0,REP,INCUMBENT,1041376.5,1159938.28,151165.08,0,10/17/18,1/1/17
"ADERHOLT, ROBERT B. REP.",H6AL04098,H,AL,4,REP,INCUMBENT,1487007.71,853025.93,1099494.04,0,10/17/18,1/1/17
"O'HALLERAN, TOM",H6AZ01199,H,AZ,1,DEM,INCUMBENT,2408828.76,2022999.33,403121.31,0,10/17/18,1/1/17
"BIGGS, ANDY MR.",H6AZ05083,H,AZ,5,UNK,INCUMBENT,765153.16,531104.67,282645.57,131e3,10/17/18,1/1/17
"MATSUI, DORIS",H6CA05195,H,CA,6,DEM,INCUMBENT,1019543.42,1047109.32,347407.81,0,10/17/18,1/1/17
"ADAMS, KIMBERLY",H8VA10148,H,VA,10,DEM,CHALLENGER,7988.09,7988.09,0,0,12/31/17,7/1/17
"POSEY, BILL",H8FL15107,H,FL,8,REP,INCUMBENT,878419.9,777338.53,566872.6,0,10/17/18,1/1/17
"ONUFREI, STELIAN",H8CA48092,H,CA,48,REP,CHALLENGER,644720.91,644720.91,0,0,6/30/18,1/1/17
"OLSON, CRAIG",H8ME02177,H,ME,2,DEM,CHALLENGER,119834,119834,0,0,9/30/18,7/1/17
"WOODEN, WELDON FREDERICK MR.",H8MI03061,H,MI,3,DEM,CHALLENGER,66145.63,65112.78,1032.85,0,9/30/18,7/1/17
"FRASER, DIANE FINDLAY",H8VA07102,H,VA,7,DEM,CHALLENGER,29675,8286.1,21388.9,14500,12/31/17,10/1/17
"SWISHER, CARLTON AARON",H8ID02148,H,ID,2,DEM,CHALLENGER,119603.22,104847.99,14755.23,2500,10/17/18,10/15/17
"KOBLE, CLINT MATTHEW MR.",H8NV02095,H,NV,2,DEM,CHALLENGER,131227.28,127650.52,3576.76,29901.81,10/17/18,7/1/17
"MITCHELL, PAUL III",H4MI04118,H,MI,10,REP,INCUMBENT,656846.38,544487.66,122767.43,5e5,10/17/18,1/1/17
"LEVIN, ANDY",H8MI09118,H,MI,9,DEM,OPEN,1352653.09,1301259.96,51393.13,4880.12,10/17/18,10/1/17
"RICE, JONATHON MARK",H8MD05129,H,MD,5,REP,CHALLENGER,647,165,482,2164.28,7/13/18,4/1/17
"THOMPSON, BENNIE G.",H4MS02068,H,MS,2,DEM,INCUMBENT,887310.5,765454.6,1378797.89,0,10/17/18,1/1/17
"ADAMS, ALMA SHEALEY",H4NC12100,H,NC,12,DEM,INCUMBENT,523189.95,472067.11,157978.1,0,10/17/18,1/1/17
"STEVENS, HALEY",H8MI11254,H,MI,11,DEM,OPEN,3585805.69,3116121.6,469684.09,0,10/17/18,2/21/17
"DUFFY, SEAN",H0WI07051,H,WI,7,REP,INCUMBENT,3427803.98,2600692.48,1801940.47,0,10/17/18,1/1/17
"MCKINLEY, DAVID B. MR.",H0WV01072,H,WV,1,REP,INCUMBENT,1213409.64,873578.24,842150.37,415e3,10/17/18,1/1/17
"ROGERS, MICHAEL",H2AL03032,H,AL,3,REP,INCUMBENT,1219665.1,857764.48,887447.58,0,10/17/18,1/1/17
"GRIJALVA, RAUL M",H2AZ07070,H,AZ,3,DEM,INCUMBENT,645538.13,591168.96,112519.46,4015.59,10/17/18,1/1/17
"ROGERS, WENDY",H2AZ09035,H,AZ,1,REP,CHALLENGER,1154690.43,1017441.99,142238.23,35865,10/17/18,1/1/17
"WATKINS, RICHARD LEE III",H8NC04108,H,NC,4,DEM,CHALLENGER,5750.36,5750.36,0,0,7/31/18,7/1/17
"LINDSTROM, BETH",S8MA00326,S,MA,0,REP,CHALLENGER,1617075.66,1610275.82,6798.79,5962.3,9/30/18,8/21/17
"SEGAL, JEROME",S8MD00252,S,MD,0,DEM,CHALLENGER,1695401,1692195.18,3205.8,1008e3,9/30/18,10/18/17
"SMITH, CHRISTOPHER E.",H8MI08110,H,MI,8,DEM,CHALLENGER,141105.86,141105.86,0,0,9/6/18,10/1/17
"BLIATOUT, BOBBY",H8CA22154,H,CA,22,DEM,CHALLENGER,394178.67,394178.67,0,0,8/30/18,1/1/17
"GRIFFIN, CLAYBURN",H8NM02230,H,NM,2,REP,OPEN,11684.73,11684.73,0,0,9/30/18,1/1/18
"MANTEY, DALE S",H8TX17131,H,TX,17,DEM,CHALLENGER,25471,14878.37,1411.34,0,3/31/18,7/1/17
"CARTER, EARL LEROY",H4GA01039,H,GA,1,REP,INCUMBENT,1924734.88,1124585.05,1303684.13,0,10/17/18,1/1/17
"LOUDERMILK, BARRY",H4GA11061,H,GA,11,REP,INCUMBENT,798920.16,479379.22,330468.62,0,10/17/18,1/1/17
"YOUNG, DAVID",H4IA03115,H,IA,3,REP,INCUMBENT,2599772.62,1936634.1,747223.34,197500,10/17/18,1/1/17
"MCHALE, JUDITH KEENAN",H8AZ08067,H,AZ,8,DEM,OPEN,4845,3847.62,-820.1,0,9/30/17,4/1/17
"LIPINSKI, DANIEL WILLIAM WILLIAM",H4IL03077,H,IL,3,DEM,INCUMBENT,1505528.05,2298127.64,465622.35,0,10/17/18,1/1/17
"WALKER, VERNON CHARLES S",H8KS04104,H,KS,4,DEM,OPEN,4284.52,4005.59,278.93,0,4/15/17,11/9/16
"BOST, MICHAEL",H4IL12060,H,IL,12,REP,INCUMBENT,2608187.17,2383588.82,232007.72,8281.72,10/17/18,1/1/17
"ABRAHAM, RALPH LEE DR. JR.",H4LA05221,H,LA,5,REP,INCUMBENT,883315.1,921171.28,170305.2,0,10/17/18,1/1/17
"MCCARTHY, KEVIN",H6CA22125,H,CA,23,REP,INCUMBENT,7748222.54,7103394.61,2162647.1,1e4,10/17/18,1/1/17
"MONTGOMERY, CHALIS POMEROY",H8GA10148,H,GA,10,DEM,CHALLENGER,99811.3,98324.49,-1219.65,2837.36,9/30/18,7/1/17
"ALLEN, KATHRY",H8UT03139,H,UT,3,DEM,CHALLENGER,867774.87,861154.25,6620.62,0,12/31/17,1/1/17
"PANETTA, JIMMY",H6CA20152,H,CA,20,DEM,INCUMBENT,1122435.48,672326.48,679564.49,0,10/17/18,1/1/17
"CARBAJAL, SALUD",H6CA24303,H,CA,24,DEM,INCUMBENT,2656968.13,1521784.82,1187475.17,0,10/17/18,1/1/17
"PRICE, SUZYN",H8IL06113,H,IL,6,DEM,CHALLENGER,40141,40141,0,0,9/30/17,4/1/17
"HARKEY, DIANE",H8CA49082,H,CA,49,REP,OPEN,1484650.59,1345215.98,139434.61,146559.13,10/17/18,1/1/18
"NELSON, CARLA JEAN",H8MN01329,H,MN,1,REP,OPEN,535734.78,510356.6,25378.18,5e4,9/30/18,10/1/17
"THOMPSON, JAMES A MR.",H8KS04120,H,KS,4,DEM,CHALLENGER,1393994.39,1360801.65,33192.74,0,10/17/18,1/1/17
"RICHMOND, CEDRIC L.",H8LA02054,H,LA,2,DEM,INCUMBENT,1488719.2,1088531.9,761276.36,8e3,10/17/18,1/1/17
"RODRIGUEZ, SHAWNDRA",H8LA02146,H,LA,2,NPA,CHALLENGER,100,0,100,0,10/17/18,7/1/18
"SNEATHERN, ANDREW",H8VA05122,H,VA,5,DEM,OPEN,282193.79,286510.45,0.04,16906.03,9/4/18,4/1/17
"GUILLORY, JOSHUA S",H8LA03037,H,LA,3,REP,CHALLENGER,327969,306211.01,22057.99,77800,10/17/18,1/1/17
"GERSHON, PERRY",H8NY01155,H,NY,1,DEM,CHALLENGER,4562681.37,4087521.54,475159.83,5e5,10/17/18,7/1/17
"CLEMENTS, PAUL COLIN",H4MI06105,H,MI,6,DEM,CHALLENGER,292478.79,299187.08,1553.42,0,9/30/18,1/1/17
"MEEKS, GREGORY W.",H8NY06048,H,NY,5,DEM,INCUMBENT,904943.17,904033.89,124510.07,0,10/17/18,1/1/17
"GAYOT, LUTCHI",H8NY09174,H,NY,9,REP,CHALLENGER,3875,3609.13,265.87,3400,10/17/18,1/1/18
"HOLLAND, JOSEPH H",S8NY00207,S,NY,0,REP,CHALLENGER,11100,11100,0,0,3/31/18,1/18/18
"HANSON, DAVID BRUCE MR.",H8VA10114,H,VA,10,DEM,CHALLENGER,22845.38,23728.85,-883.47,14244.85,9/30/18,4/1/17
"FRIEDMAN, ALISON",H8VA10122,H,VA,10,DEM,CHALLENGER,2498696.22,2499082.08,-385.86,0,9/30/18,6/5/17
"RYWALSKI, ERIC",H8CA45163,H,CA,45,DEM,CHALLENGER,25113.88,25366.3,0,0,12/31/17,4/1/17
"LAMALFA, DOUG",H2CA02142,H,CA,1,REP,INCUMBENT,928930.26,785602.53,232553.33,505.4,10/17/18,1/1/17
"NOBLE, JANELLE",H8VA07078,H,VA,7,DEM,CHALLENGER,2943.19,2613.94,429.25,0,9/30/17,4/1/17
"MOTT-SMITH, MARLA LOUISE",H8UT04020,H,UT,4,DEM,CHALLENGER,21423.71,21428.71,0,0,11/7/17,4/1/17
"HENDERSON, DEIDRE",H8UT03188,H,UT,3,REP,OPEN,37065,37065,0,0,9/30/17,4/1/17
"COOK, PAUL",H2CA08164,H,CA,8,REP,INCUMBENT,927054.19,1061813.56,436454.9,0,10/17/18,1/1/17
"VALADAO, DAVID",H2CA20094,H,CA,21,REP,INCUMBENT,3093697.26,2429611.18,713257.89,0,10/17/18,1/1/17
"ROYBAL-ALLARD, LUCILLE",H2CA33048,H,CA,40,DEM,INCUMBENT,500860.58,489820.11,83665.27,0,10/17/18,1/1/17
"CALVERT, KENNETH S",H2CA37023,H,CA,42,REP,INCUMBENT,1423932.17,1507579.15,498702.75,2370.5,10/17/18,1/1/17
"SLATE, ADAM",H8VA05130,H,VA,5,DEM,OPEN,15832.85,15832.85,0,0,9/1/18,4/1/17
"BLUMENAUER, EARL",H6OR03064,H,OR,3,DEM,INCUMBENT,1394634.7,1464331.56,960233.5,0,10/17/18,1/1/17
"KERNER, DEBRA",H8TX07108,H,TX,7,DEM,CHALLENGER,18464.16,7830.29,835.95,0,12/31/17,3/15/17
"EVANS, DWIGHT",H6PA02171,H,PA,3,DEM,INCUMBENT,1075220.16,1057291.14,53684.65,0,10/17/18,1/1/17
"FITZPATRICK, BRIAN",H6PA08277,H,PA,1,REP,INCUMBENT,3117260.67,2815661,447369.14,24750,10/17/18,1/1/17
"SMUCKER, LLOYD K.",H6PA16320,H,PA,11,REP,INCUMBENT,1624330.75,1546091.59,112260.71,71905.85,10/17/18,1/1/17
"BABIN, BRIAN",H6TX02079,H,TX,36,REP,INCUMBENT,1118346.73,702438.92,970092.75,0,10/17/18,1/1/17
"SPANO, VINCENT ROSS",H8FL15230,H,FL,15,REP,OPEN,587719.68,519283.83,68435.85,263507.55,10/17/18,4/1/18
"SHAPIRO, M. DAVID",H8FL16055,H,FL,16,DEM,CHALLENGER,2417927.95,2181049.89,236878.06,2e5,10/17/18,10/1/17
"STEUBE, W. GREG",H8FL17053,H,FL,17,REP,OPEN,782124.69,598442,183682.69,0,10/17/18,1/1/18
"BAER, LAUREN",H8FL18028,H,FL,18,DEM,CHALLENGER,3987524.47,3626413.86,361110.61,0,10/17/18,8/1/17
"HOLDEN, DAVID",H8FL19067,H,FL,19,DEM,CHALLENGER,471404.71,401037.9,70366.81,8795.11,10/17/18,7/1/17
"CORLEW, BOB",H8TN06102,H,TN,6,REP,OPEN,1520974.91,1520974.91,0,0,9/12/18,1/1/18
"OLSZEWSKI, ALBERT DAVID",S8MT00200,S,MT,0,REP,CHALLENGER,326245,326244,0,81831,9/30/18,4/1/17
"STOVALL, ROBERT",H8TX21273,H,TX,21,REP,OPEN,159554.5,157404.17,2150.33,69900,9/30/18,10/1/17
"HICKEY, ADAM",H8OH14145,H,OH,14,GRE,CHALLENGER,625.77,604.57,21.2,0,1/30/18,4/1/17
"BIRD, STONEWALL (STONEY) JACKSON",H8WA02190,H,WA,2,GRE,CHALLENGER,5265.39,2336.64,2889.62,0,9/30/18,4/15/18
"LANGE, WERNER",H8OH06117,H,OH,6,DEM,CHALLENGER,797,755,191,0,5/19/18,4/10/18
"RAMIREZ-DEAN, RITA DR",H8CA41139,H,CA,8,DEM,CHALLENGER,369.01,4514.56,3245.54,30102.04,6/30/18,1/1/18
"VOLPATO, JOHNNY SILVIO MR JR",H8NM02172,H,NM,2,REP,OPEN,81400.11,81400.11,0,0,6/30/18,7/1/17
"BORRELLI, TAMBORINE",H8WA10029,H,WA,10,IND,CHALLENGER,47444.95,47519.59,-74.64,14813.77,9/30/18,5/1/17
"MYERS, CATHY",H8WI01131,H,WI,1,DEM,OPEN,1498036.47,1493502.98,4533.49,56538.54,9/30/18,6/21/17
"PARK, JONATHAN",H8VA11096,H,VA,11,DEM,CHALLENGER,6142,6142,0,0,10/15/18,1/1/18
"LEROY, DAVID H",H4ID01065,H,ID,1,REP,OPEN,362407.68,362407.68,0,0,6/30/18,4/1/17
"EISEN, MICHAEL DR",S8CA00382,S,CA,0,IND,CHALLENGER,5552,690,4861,NA,9/30/17,4/1/17
"LEWIS, ANDREW",H8PA11087,H,PA,11,REP,OPEN,215241.73,215241.73,0,0,4/4/18,9/1/17
"MURTAUGH, MORGAN",H8CA53084,H,CA,53,REP,CHALLENGER,85503.86,65895.2,19608.66,0,10/17/18,3/9/18
"HUTCHISON, SUSAN",S8WA00319,S,WA,0,REP,CHALLENGER,1548268.27,1281554.15,266714.56,38.24,10/17/18,4/1/18
"VUKMIR, LEAH",S8WI00224,S,WI,0,REP,CHALLENGER,5327268.11,4227177.48,1100091.95,0,10/17/18,7/1/17
"BARRAGAN, NANETTE",H6CA44103,H,CA,44,DEM,INCUMBENT,1449581.99,814786.53,648361.11,0,10/17/18,1/1/17
"TRAUNER, GARY",S8WY00189,S,WY,0,DEM,CHALLENGER,844226.7,657252.16,186975.13,0,10/17/18,12/10/17
"HINCHMAN, ROBERT CLAYTON MR",H8AL05208,H,AL,5,GOP,CHALLENGER,253800.31,258866.03,0,92624.68,9/30/18,4/1/17
"GAETZ, MATT",H6FL01119,H,FL,1,REP,INCUMBENT,1150146.47,989518.94,219568.56,25e3,10/17/18,1/1/17
"DUNN, NEAL PATRICK MD, FACS",H6FL02208,H,FL,2,REP,INCUMBENT,1329406.87,935092.44,407237.38,296850,10/17/18,1/1/17
"HIDALGO, JUAN",H8CA51062,H,CA,51,REP,CHALLENGER,58231.29,47566.19,10665.1,472.11,10/17/18,1/1/18
"ARREDONDO-LYNCH, ALMA D.D.S",H8TX23113,H,TX,23,REP,CHALLENGER,31465,30836.54,628.46,2e4,7/13/18,7/1/17
"CARTER, PATRICK",H8NV03259,H,NV,3,REP,OPEN,9538.83,8295.37,0,-1700,7/1/18,1/1/18
